exp_id,job_id,recipe,status,dataset,architecture,dimensionality,sampling_mode,k_input,g_shell,n_context_samples,n_preds,n_params,sec_per_epoch,sec_per_volume,peak_gpu_mem_mb,duration_s
paper_final_k16,restormer_dbrain_ncontext_12_ablation,n_context_sensitivity,success,dbrain,restormer,3d,rgs,16,60,12,12,177883,0.04887502988179525,94.8482770204544,2509.0498046875,5741.883571863174
paper_final_k16,restormer_dbrain_ncontext_24_ablation,n_context_sensitivity,success,dbrain,restormer,3d,rgs,16,60,24,12,177883,0.049248762263192074,187.12974416414897,2508.2646484375,11278.943819522858
paper_final_k16,restormer_dbrain_ncontext_48_ablation,n_context_sensitivity,success,dbrain,restormer,3d,rgs,16,60,48,12,177883,0.048860835366778904,372.22564427057904,2508.9677734375,22384.508014678955
paper_final_k16,restormer_stanford_ncontext_1_ablation,n_context_sensitivity,success,stanford,restormer,3d,rgs,16,150,1,10,177883,0.011925036642286512,2.5128762499491373,2322.61669921875,431.6744601726532
paper_final_k16,restormer_stanford_ncontext_3_ablation,n_context_sensitivity,success,stanford,restormer,3d,rgs,16,150,3,10,177883,0.01197001854578654,7.194017601013184,2322.76318359375,1133.6526098251343
paper_final_k16,restormer_stanford_ncontext_5_ablation,n_context_sensitivity,success,stanford,restormer,3d,rgs,16,150,5,10,177883,0.011998231410980225,11.864981815020244,2322.28466796875,1834.4380486011505
paper_final_k16,restormer_stanford_ncontext_12_ablation,n_context_sensitivity,success,stanford,restormer,3d,rgs,16,150,12,10,177883,0.011971927218967013,28.226801994641622,2323.42236328125,4288.930908203125
paper_final_k16,restormer_stanford_ncontext_24_ablation,n_context_sensitivity,success,stanford,restormer,3d,rgs,16,150,24,10,177883,0.012015210522545708,56.2270116408666,2324.30126953125,8488.484315395355
paper_final_k16,restormer_stanford_ncontext_48_ablation,n_context_sensitivity,success,stanford,restormer,3d,rgs,16,150,48,10,177883,0.011911168098449706,112.37081906795501,2325.43408203125,16909.934886932373
paper_final_k16,drcnet_dbrain_npreds_1_ablation,n_preds_sensitivity,success,dbrain,drcnet,3d,rgs,16,60,16,1,116002,0.051509067085054185,5.002914587656657,1770.45458984375,351.13982582092285
paper_final_k16,drcnet_dbrain_npreds_3_ablation,n_preds_sensitivity,success,dbrain,drcnet,3d,rgs,16,60,16,3,116002,0.05282318724526299,10.251423211892446,4386.45458984375,666.5998589992523
paper_final_k16,drcnet_dbrain_npreds_5_ablation,n_preds_sensitivity,success,dbrain,drcnet,3d,rgs,16,60,16,5,116002,0.05190364321072896,15.48059086004893,5676.45458984375,979.8576242923737
paper_final_k16,drcnet_dbrain_npreds_10_ablation,n_preds_sensitivity,success,dbrain,drcnet,3d,rgs,16,60,16,10,116002,0.05148843195703295,28.558010347684224,5694.45458984375,1764.4990527629852
paper_final_k16,drcnet_dbrain_npreds_15_ablation,n_preds_sensitivity,success,dbrain,drcnet,3d,rgs,16,60,16,15,116002,0.05181375079684787,41.672906311353046,5694.45458984375,2551.4909365177155
paper_final_k16,drcnet_dbrain_npreds_20_ablation,n_preds_sensitivity,success,dbrain,drcnet,3d,rgs,16,60,16,20,116002,0.05146019789907667,54.94849534034729,5694.45458984375,3347.8918426036835
