dataset,architecture,status,n_context_samples,n_preds,sec_per_volume,sec_per_epoch,n_params,peak_gpu_mem_mb,psnr,psnr_roi,fa_mae,md_mae
stanford,restormer,success,48,10,112.37081906795501,0.011911168098449706,177883,2325.43408203125,27.07641181541467,26.12166079284618,,
dbrain,drcnet,success,16,1,5.002914587656657,0.051509067085054185,116002,1770.45458984375,23.89147481814529,26.850797533449885,0.2591056543214541,3437.8580356416087
dbrain,drcnet,success,16,3,10.251423211892446,0.05282318724526299,116002,4386.45458984375,23.88246802649114,26.838066664391008,0.21915949990323583,3420.9660208817604
dbrain,drcnet,success,16,5,15.48059086004893,0.05190364321072896,116002,5676.45458984375,23.99404720782345,26.848989768898328,0.24415104915759672,3456.4728714978846
dbrain,drcnet,success,16,10,28.558010347684224,0.05148843195703295,116002,5694.45458984375,23.964027824613773,26.92703590709683,0.2272624992278868,3448.633564554306
dbrain,drcnet,success,16,15,41.672906311353046,0.05181375079684787,116002,5694.45458984375,23.970581442671293,26.903793035689798,0.2592147300509302,3436.9284699805517
dbrain,drcnet,success,16,20,54.94849534034729,0.05146019789907667,116002,5694.45458984375,23.899321272874072,26.936353985518487,0.2487590315010639,3457.0409682568447
dbrain,restormer,success,16,1,23.501474916934967,0.049004457394282025,177883,2482.6552734375,22.663730915060697,22.653454702433542,0.2185505910990405,3412.818948176341
dbrain,restormer,success,16,3,37.79544553756714,0.04937726193004184,177883,2487.05078125,22.77354264169449,22.917351190636488,0.22981133361054673,3450.8420143392404
dbrain,restormer,success,16,5,57.451754196484885,0.049114196830325654,177883,2491.67578125,22.87375408388474,22.97708993911514,0.21860250891941685,3417.7267480467845
dbrain,restormer,success,16,10,106.37646145025889,0.04915333522690667,177883,2503.5126953125,22.83402057948574,23.183890419219942,0.22581743082351188,3446.409680273457
dbrain,restormer,success,16,15,154.6112308382988,0.04981595145331489,177883,2515.3427734375,22.79248058958956,23.222809206354114,0.256180769847245,3450.3059999740053
dbrain,restormer,success,16,20,202.4322522521019,0.04890603025754293,177883,2525.0302734375,22.775737558940257,23.104083064667662,0.23335418180866468,3452.813938776747
dbrain,drcnet,success,16,12,33.623823587099714,13.510344526502822,116002,8010.208984375,26.062346067234685,29.75842643433182,0.25794121136365067,3445.8166480637415
dbrain,restormer,success,16,12,126.4239776690801,31.832166488303077,177883,11066.98681640625,25.4482199369364,27.19279113311797,0.21701675326001982,3420.94571161487
dbrain,drcnet,success,16,12,34.005438975493114,0.053551261292563546,116002,5694.45458984375,23.94741599123242,26.921679063848835,0.2593664748803221,3437.7804280784385
dbrain,restormer,success,16,12,126.26990923484166,0.05421797566943699,177883,2508.0302734375,22.76982018575323,23.141226908585075,0.25846245806705037,3439.0210693915774
dbrain,drcnet,success,16,12,33.42454181114832,13.328066346380446,116002,8010.208984375,22.034082520367832,25.106799288993177,0.22020720845523808,3430.9490659923863
dbrain,restormer,success,16,12,124.43771702845892,31.605544192261167,177883,11066.98681640625,21.193938805263727,24.63058027485397,0.24519486218532804,3467.5980879498984
dbrain,drcnet,success,16,12,33.438576714197794,13.353497980700599,116002,8010.208984375,22.740389616650013,23.520540589863867,0.22109861464152444,3436.710255194849
dbrain,restormer,success,16,12,130.5084938645363,22.7653798825211,177883,9370.86181640625,20.428148323192524,23.023618668956097,0.2597174054850909,3452.467431819407
dbrain,drcnet,success,16,10,29.600749576091765,0.05153372221522861,116002,5694.45458984375,23.924704213184526,26.859520110259616,0.23490862211984337,3457.726718230056
dbrain,restormer,success,16,10,110.41125006278357,0.04875275161531237,177883,2503.5126953125,22.816413007650493,23.146303335667632,0.21860652385481447,3408.0515635213465
dbrain,drcnet,success,16,10,29.637188053131105,,116002,5694.45458984375,4.1588947419274245,10.398825507850294,0.24641370000721896,3527.1304261925284
dbrain,drcnet,success,16,10,29.568310491244,,116002,5694.45458984375,10.294219662419932,11.264530361310253,0.2338498739257393,3508.410863850838
dbrain,restormer,success,16,10,110.09291232824326,,177883,2502.79736328125,11.653490773451505,10.924339282856291,0.25576767284658386,3516.664510612662
dbrain,restormer,success,16,10,109.08693988720576,,177883,2502.79736328125,10.099498560284282,12.275883358354626,0.23334997245755199,3514.233483639396
dbrain,drcnet,success,16,10,29.211590778827667,,116002,5694.45458984375,14.044134935665866,15.516161870731038,0.2573376028700744,3523.1363996670616
dbrain,drcnet,success,16,10,29.208864076932272,,116002,5694.45458984375,14.048922110983533,15.478160006583927,0.2554027602629403,3525.66876175816
dbrain,restormer,success,16,10,109.32164094845454,,177883,2502.79736328125,9.99472156776363,12.595889201279231,0.2655407544125371,3510.4560502867657
dbrain,restormer,success,16,10,109.38584409157436,,177883,2502.79736328125,10.597660781749044,12.789136316212094,0.2540741754675338,3509.7558648493236
dbrain,drcnet,success,5,5,6.413794445991516,,116002,5676.45458984375,5.626706959217708,9.758062824238046,0.2802474844781607,3503.0294527118303
dbrain,drcnet,success,12,10,20.3037991921107,,116002,5694.45458984375,5.468895862762789,9.62808151328645,0.24411240577453305,3525.016190073309
dbrain,drcnet,success,16,12,30.704824833075204,,116002,5694.45458984375,5.423153596782417,9.57347686436864,0.24381943264280148,3532.2628570087336
dbrain,drcnet,success,48,20,142.49991193612416,,116002,5694.45458984375,5.372146623147881,9.537992285675944,0.26059256221857197,3538.7561785884136
